year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1990,1991,63,DIRECTING,Martin Scorsese,Good Fellas,False,46836214.0,Sep,146,43.0,38.0,8.7,96.0,90.0,948824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,1991,63,DIRECTING,Stephen Frears,The Grifters,False,13446769.0,Jan,110,10.0,17.0,6.9,90.0,86.0,24080.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,1991,63,DIRECTING,Barbet Schroeder,Reversal of Fortune,False,15445131.0,Nov,111,12.0,16.0,7.2,94.0,93.0,13568.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1992,64,DIRECTING,John Singleton,Boyz N the Hood,False,57504069.0,Jul,112,11.0,21.0,7.7,96.0,76.0,116560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1992,64,DIRECTING,Barry Levinson,Bugsy,False,49114016.0,Dec,136,10.0,41.0,6.8,85.0,80.0,24590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1992,64,DIRECTING,Oliver Stone,JFK,False,70405498.0,Dec,189,17.0,42.0,8.0,84.0,72.0,134163.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1992,64,DIRECTING,Jonathan Demme,The Silence of the Lambs,True,130742922.0,Feb,118,63.0,51.0,8.6,96.0,85.0,1180775.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1992,64,DIRECTING,Ridley Scott,Thelma  Louise,False,45360915.0,May,130,22.0,49.0,7.5,84.0,88.0,126619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1992,1993,65,DIRECTING,Neil Jordan,The Crying Game,False,62548947.0,Feb,112,21.0,46.0,7.2,94.0,90.0,48559.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1992,1993,65,DIRECTING,James Ivory,Howards End,False,26126837.0,Feb,142,29.0,48.0,7.4,94.0,89.0,26862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1992,1993,65,DIRECTING,Robert Altman,The Player,False,21706101.0,May,124,24.0,29.0,7.5,98.0,86.0,51192.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,1993,65,DIRECTING,Martin Brest,Scent of a Woman,False,63095253.0,Jan,156,5.0,14.0,8.0,88.0,59.0,242321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
